class,realization,seed,k0_score,m1_score,delta,winner,elapsed
C01_white,3,34920502,92595.00941757634,92596.66485272463,1.6554351482918719,M1,230.16181182861328
C01_white,0,34920499,92111.31346197557,92111.77052698776,0.45706501218955964,M1,316.78097200393677
C01_white,2,34920501,89082.93269527418,89070.24568694633,-12.687008327848162,K0,387.43895411491394
C01_white,1,34920500,93280.96785420783,93281.03164453409,0.06379032625409309,M1,401.34168577194214
C01_white,5,34920504,91502.48672629883,91502.14154124832,-0.3451850505080074,K0,256.56181287765503
C01_white,4,34920503,93401.88561609357,93402.34864368952,0.4630275959498249,M1,433.19434690475464
C01_white,6,34920505,93032.06728688677,93014.24853447448,-17.81875241229136,K0,330.70971870422363
C01_white,8,34920507,92575.82407776176,92574.72352387202,-1.100553889744333,K0,287.33982944488525
C01_white,7,34920506,92122.53867706934,92141.27461296026,18.735935890916153,M1,513.0595083236694
C02_M1_160,10000,34930499,91557.4673844155,92339.84862472533,782.3812403098273,M1,320.21097230911255
C01_white,9,34920508,92450.65971326311,92450.002679702,-0.6570335611177143,K0,389.70404624938965
C02_M1_160,10001,34930500,91631.31162811689,92351.24641714113,719.9347890242352,M1,275.13396739959717
C02_M1_160,10002,34930501,92555.15868242022,93062.62764744564,507.46896502541495,M1,226.2005922794342
C02_M1_160,10004,34930503,92003.48345837428,92212.07298969322,208.5895313189394,M1,170.08932852745056
C02_M1_160,10003,34930502,81483.33943387719,79737.35623416973,-1745.9831997074652,K0,288.6301929950714
C02_M1_160,10005,34930504,92323.44027402774,92978.34472341528,654.9044493875408,M1,252.02198243141174
C02_M1_160,10007,34930506,92471.37494208456,93187.78012518237,716.4051830978133,M1,215.1802613735199
C02_M1_160,10006,34930505,91627.32241478837,92713.20749501117,1085.8850802227971,M1,340.30876636505127
C02_M1_160,10008,34930507,91439.773791118,92240.34312131266,800.5693301946594,M1,201.05089902877808
C02_M1_160,10009,34930508,89537.78232116661,89451.27265192676,-86.50966923985106,K0,163.76709651947021
