file,product_label,product_kind,sector_start,sector_stop,tce_index,relation_to_official,period_days,epoch_btjd,depth_ppm,duration_hours,ingress_duration_hours,impact_parameter,inclination_deg,a_rs,rp_rs,rp_earth,max_mes,max_ses,period_delta_days_vs_official,period_ratio_vs_official
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0065-0000000081077799\tess2018206190142-s0001-s0065-0000000081077799-00728_dvt.fits,S1-S65,multi_sector,1,65,1,official_period,9.222417062942297,2314.521178158958,3109.761707245841,5.296857963138665,0.5772776103331028,0.737225221134146,85.80579839867231,10.08002141066832,0.055303166607448294,15.652777089152355,81.03038024902344,36.36962127685547,-3.7057702684251126e-08,0.9999999959817798
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0065-0000000081077799\tess2018206190142-s0001-s0065-0000000081077799-00728_dvt.fits,S1-S65,multi_sector,1,65,2,other_tce,1.6285219667284092,2307.5275911363674,191.21685917465982,2.992818537066223,0.17268080733278418,0.8721918203531392,68.13741185775858,2.3421973701855188,0.014361026950413575,4.0646850337112195,11.375530242919922,3.5011799335479736,-7.59389513327159,0.1765829878512445
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0096-0000000081077799\tess2018206190142-s0001-s0096-0000000081077799-01071_dvt.fits,S1-S96,multi_sector,1,96,1,official_period,9.222408052964024,2314.5217601178183,3128.253866513578,5.273707182240881,0.5593209107436028,0.7275680471840523,85.92884768507363,10.248124812462867,0.0553418539884639,15.663727003747654,99.389946,36.4939995,-9.047035975484619e-06,0.9999990190168285
data\spoc_dv\mastDownload\TESS\tess2018206190142-s0001-s0096-0000000081077799\tess2018206190142-s0001-s0096-0000000081077799-01071_dvt.fits,S1-S96,multi_sector,1,96,2,other_tce,1.6285500773379566,2307.5218094125526,180.83932226941147,2.8838682544354226,0.2369030998391547,0.9144807981961216,64.42018398486205,2.1179910060417413,0.0143400183470101,4.058738846427525,12.4409237,3.1509547,-7.593867022662042,0.1765860359252193
data\spoc_dv\mastDownload\TESS\tess2021091135823-s0037-0000000081077799-0208-s\tess2021092173506-s0037-s0037-0000000081077799-00478_dvt.fits,S37,single_sector,37,37,1,official_period,9.222977110967973,2314.521055734386,3042.9847160464706,5.253400351602569,0.5239541202583935,0.7108862786863472,86.10958354669906,10.477566848742057,0.05437938278998941,15.391313179212293,42.62432098388672,31.002071380615234,0.0005600109679733123,1.0000607227977114
data\spoc_dv\mastDownload\TESS\tess2023069172124-s0063-0000000081077799-0255-s\tess2023069204038-s0063-s0063-0000000081077799-00712_dvt.fits,S63,single_sector,63,63,1,other_tce,8.686164123035535,3015.9588151476764,1093.4813631544137,5.162133048091642,0.5420179317805833,0.8414429594366686,83.7873895819212,7.77543220718106,0.033868570531885384,9.586018620359376,24.667551040649414,31.1469669342041,-0.5362529769644642,0.9418533155516828
data\spoc_dv\mastDownload\TESS\tess2023096110322-s0064-0000000081077799-0257-s\tess2023096143437-s0064-s0064-0000000081077799-00720_dvt.fits,S64,single_sector,64,64,1,official_period,9.222730406912833,3043.091790379146,3200.8060168710495,5.296703658263833,0.5665983068668767,0.7269688242494876,85.92232969183236,10.223344336865434,0.055971156795767286,15.841842239611386,56.525814056396484,37.94585418701172,0.0003133069128331556,1.0000339723208609
data\spoc_dv\mastDownload\TESS\tess2023096110322-s0064-0000000081077799-0257-s\tess2023096143437-s0064-s0064-0000000081077799-00720_dvt.fits,S64,single_sector,64,64,2,other_tce,1.6277217458452613,3041.997300834064,211.73261750617735,3.1387037126764477,0.7446098278211056,0.9701375419783684,51.43192196157925,1.5560939169558854,0.016607367403028057,4.700479844896308,7.517648220062256,3.4146158695220947,-7.594695354154738,0.17649621874565416
data\spoc_dv\mastDownload\TESS\tess2025071122000-s0090-0000000081077799-0287-s\tess2025071153929-s0090-s0090-0000000081077799-00991_dvt.fits,S90,single_sector,90,90,1,official_period,9.223049413939288,3753.216971049755,3179.767448320692,5.270761551140607,0.5697163261335367,0.7313617759862894,85.89455033977919,10.215646398913652,0.0558435138870728,15.805714724328439,58.7245979,36.944252,0.0006323139392883093,1.0000685627132706
data\spoc_dv\mastDownload\TESS\tess2026005125623-s0099-0000000081077799-0300-s\tess2026005143517-s0099-s0099-0000000081077799-01089_dvt.fits,S99,single_sector,99,99,1,two_p_alias,18.444262548991933,4048.335455386423,3111.664773555245,5.329626670212661,0.6064897742999125,0.7507037628257567,87.80891560696556,19.635319780499877,0.0555032783283254,15.709415874089379,44.8961143,35.3036537,9.221845448991933,1.9999380150559374
data\spoc_dv\mastDownload\TESS\tess2026033082000-s0100-0000000081077799-0302-s\tess2026033114116-s0100-s0100-0000000081077799-01102_dvt.fits,S100,single_sector,100,100,1,official_period,9.221581026996333,4076.0037579337086,3028.192204284275,5.342660852667441,0.6342890034155013,0.7661151882907586,85.42432010765815,9.603351033717868,0.0549768337631478,15.560413205091937,48.8126831,38.765274,-0.0008360730036667263,0.9999093433972243
