ID,scenario,M_s,R_s,P_orb,inc,b,ecc,w,R_p,M_EB,R_EB,prob
81077799,TP,1.25,2.59262,9.2224171,82.5414660191433,1.018123722553526,0.26943561016130774,340.31120429290684,14.64857771247463,0.0,0.0,7.280835587448847e-13
81077799,EB,1.25,2.59262,9.2224171,70.48383638186425,1.44476326538192,0.6074248618914315,38.64902238311664,0.0,1.0725157671375931,1.182978231434566,0.0
81077799,EBx2P,1.25,2.59262,18.4448342,85.11852209786531,1.2343685982960804,0.11006202709108162,156.13860832647825,0.0,1.2297719257535418,1.3746669082775653,0.0
81077799,PTP,1.25,2.59262,9.2224171,81.86116817546652,0.8027592972943889,0.36122675974011464,29.73208320322177,15.761941544373341,0.0,0.0,0.9999970841146957
81077799,PEB,1.25,2.59262,9.2224171,50.27028335556785,1.3584775982092254,0.799525017645971,49.413897372874025,0.0,1.083834209390685,1.198425359244147,0.0
81077799,PEBx2P,1.25,2.59262,18.4448342,85.35469190209199,1.0592835474841313,0.20849647215596925,144.52244127202619,0.0,1.2255622535994832,1.3700592019656732,0.0
81077799,STP,1.0471511762369867,1.1474562415504213,9.2224171,89.17875027709816,0.21927280037556893,0.16662243199340693,165.80423545362603,12.196938004480595,0.0,0.0,4.779843250920017e-72
81077799,SEB,0.7360148700842453,0.766975961556807,9.2224171,89.07642175478308,0.3633615068557708,0.0016522097745633611,78.99062655818187,0.0,0.08334977500467926,0.1,0.0
81077799,SEBx2P,1.1254506740121966,1.252736059720855,18.4448342,87.70397987555747,0.5257396453181654,0.6862151776314555,160.3392093001273,0.0,1.0806612040124846,1.1941235894631945,0.0
81077799,DTP,1.25,2.59262,9.2224171,83.13222506198701,0.8813934400013317,0.11693696326136853,14.343317105679114,15.567585602598395,0.0,0.0,2.91588457618249e-06
81077799,DEB,1.25,2.59262,9.2224171,71.08109293635975,1.332666002630881,0.6023333158522577,53.25083939128157,0.0,1.1549126902861233,1.2890179259827197,0.0
81077799,DEBx2P,1.25,2.59262,18.4448342,85.42375489129475,1.3621069991406272,0.2591339946163354,218.187971664397,0.0,1.2451320121697387,1.3913050715970858,0.0
81077799,BTP,1.111,1.2849636527330444,9.2224171,88.02507220904081,0.45593406964636224,0.11360468960422627,96.09522279076263,18.662507116052886,0.0,0.0,1.9341103324365333e-267
81077799,BEB,0.995,0.9929910954606217,9.2224171,89.48818228915297,0.17531636075986162,1.9107003460891735e-05,338.2219591740648,0.0,0.17269808968284583,0.20451946372123966,0.0
81077799,BEBx2P,0.254,0.2523194166749183,18.4448342,89.5116473822944,0.12031593282862678,0.889483304963609,155.4554044378213,0.0,0.24869884497266098,0.2523194166749183,0.0
